Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 1245,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus K,5,5,5,5,4,Use of Ontrack and Use of online digital resources.,Thanks,
Participant 1220,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus H,4,4,4,4,4,Intervention,,
Participant 1233,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus H,5,5,5,5,5,First enroll in Ontrack,,
Participant 1246,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Campus Graduation Coach (All subjects in the Apex system),Campus H,5,5,5,5,5,There are only three classes with LSAE status and be flexible.,,
Participant 1041,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,ELAR/English,Campus A,5,5,5,5,5,Dive in of summer curriculum ,,
Participant 1147,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,ELAR/English,Campus A,5,5,5,5,5,Amira,Thank you.,
Participant 1259,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,ELAR/English,Campus A,4,5,5,5,4,Implementation of Zearn and Amira,,
Participant 1280,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus H,5,5,5,4,5,Everything is streamlined and provided,Great Speaker!,
Participant 1229,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus AA,5,5,5,5,5,Clear expectations and resources ,Ms. Stickney and Mr. Salinas were amazing!,
Participant 1239,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Instruction Coach,Campus AA,5,5,5,5,5,curriculum provided,,
